"","LocationAbbr","LocationDesc","Income","YearStart","obesity","Overweight","fruit","veg","cardio","mus_car","carLong","muscle","noAct"
"218","NH","New Hampshire","$15,000 - $24,999",2013.5,29.9666666666667,34.2833333333333,39.0666666666667,25.5,45.7666666666667,13.9333333333333,30.6666666666667,22.7666666666667,32.75
"219","NH","New Hampshire","$25,000 - $34,999",2013.5,28.2666666666667,34.0166666666667,35.7,21.3333333333333,49.3333333333333,16.5666666666667,30.4333333333333,26.7,27.5666666666667
"220","NH","New Hampshire","$35,000 - $49,999",2013.5,29.8333333333333,37.2,31.4666666666667,19.0333333333333,56.9,20.4,36.8,29,22.4
"221","NH","New Hampshire","$50,000 - $74,999",2013.5,29.3833333333333,37.0666666666667,33.7666666666667,15.1666666666667,56.9,24.1666666666667,34.2,32.8666666666667,19.5
"222","NH","New Hampshire","$75,000 or greater",2013.5,23.5666666666667,39,27.7333333333333,10.9666666666667,63.4666666666667,28.6,37.7333333333333,37.7666666666667,12.4
"223","NH","New Hampshire","Data not reported",2013.5,22.25,32.0666666666667,31.9333333333333,19.7666666666667,53.6,22.7666666666667,37.7,31.6666666666667,23.0333333333333
"224","NH","New Hampshire","Less than $15,000",2013.5,34.7666666666667,27.1833333333333,43.6333333333333,26.8666666666667,47.1666666666667,13.1333333333333,30.9,20.9,35.25
"225","NJ","New Jersey","$15,000 - $24,999",2013.5,29.6,36.75,39.1666666666667,28.3,42.6333333333333,16.0666666666667,27.5666666666667,24.6333333333333,36.9166666666667
"226","NJ","New Jersey","$25,000 - $34,999",2013.5,29.9166666666667,35.85,37.4333333333333,25.6333333333333,45.5,18.4,29.7333333333333,27.6,34.3166666666667
"227","NJ","New Jersey","$35,000 - $49,999",2013.5,28.6833333333333,37.55,34.5666666666667,22.2666666666667,50.3333333333333,21.9666666666667,33,30.5,28.95
